"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Barbados","BRB","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","550000.0119","354452.5802","416388.8991","816651.2847","438333.5412","396261.9305","100000.0015","649999.9762","649999.9762","750000","699999.9881","800000.0119","550000.0119","500000","850000.0238","750000","800000.0119","4500000","3650000.095","7000000","6250000","7700000","8800000","9550000","11250000","15450000","20350000","16250000","17700000","18950000","19150000","20300000","20134500","21713000","18250000","40794146.7041721","35778093","55286712.96","39018966.67","37170015.89","35029244.525","56726261.536","52694935.0010688","63896785.9782236","62510666.9516274","54531589.6431534","51599735.7846208","","","","",
"Brunei Darussalam","BRN","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89225732.0647701","96975673.5483045","353781659.800789","375574678.932879","405466493.678279","430285346.649689","420360159.049574","444817438.557593","","","","","","","","","","","",
"Bhutan","BTN","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75022491.0343194","60503403.6793541","61007916.244212","47650215.2113134","70779765.6661513","92283274.0490246","73765182.3259175","57949829.2888992","52119521.9726357","54958721.1717833","52526250.4395012","52589438.2417465","57524189.4222053","64990915.7525375","47980514.7972506",
"Botswana","BWA","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","3921527.863","36800010.68","40619522.09","34293014.53","16809679.03","25861236.57","29041337.97","25542390.82","22608638.76","24030069.35","15663051.61","22031305.31","1131665.826","18780263.9","36428863.53","117981204.528078","117928922.760843","139212456.599794","131444548.765515","145307825.558347","198938992.04244","86366731.2102472","119016205.743274","117727668.556608","122264635.575863","133941061.157217","129091561.656691","129616289.542827","185589022.421694","99200398.0583915","107032901.744271","97410081.8139718","98646074.2009613","57561567.9031087","59503691.6493388","99754459.855347","122311487.009103","124130509.024899","97489264.3869631","105396857.464986","94742111.7026077","80447980.7958848","81246534.89425","63438910.5693902","69160723.9665497","",
"Central African Republic","CAF","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","11335898.4","14823457.72","10511388.78","19609090.81","15783966.06","17714208.6","16739881.52","15264671.33","15051318.17","24230022.43","28944896.7","33013458.25","31184141.16","35987025.9889842","35199421.5311098","34591173.4856788","35968735.7629801","27377290.0678529","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1314152129.04174","1312810161.88573","1225019804.85808","1137252965.8626","1180866506.68029","1306027082.43198","1451288395.37223","1547247001.22047","1494681390.07417","1614242982.15281","1696622259.4351","1774974003.28847","1970679764.05853","2242154647.11984","2610530518.9199","3261615579.71714","3286690324.2995","4567022241.08906","4859141896.89805","4662098288.9915","5290453957.41713","5557756827.74173","5629382995.17341","5702499908.42515","5948213016.80636","5114157603.63363","5255722464.64191","6482765219.33016","7521774379.76364","8390566845.26017","6538041230.55472",
"Central Europe and the Baltics","CEB","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2144234.41516958","24086494.1546209","240562589.594296","525506810.71529","750624542.045168","756134800.950194","1128780841.41296","1049646356.89603","1518592486.85799","1684720276.66707","1841159624.44343","2184365072.46251","2509041355.52775","3379777958.29713","4245941341.13567","5845107717.25149","8006878107.65319","6339308257.56093","5466761296.76438","6234406823.42396","6145089405.98207","6145513107.26546","7544538556.05122","7066948088.59368","8423109022.92843","11249068663.7971","13924945856.3937","14969320990.0127","13708656393.436",
"Switzerland","CHE","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","1306414551","1865186401","2126028076","2339309326","2326597656","2755784424","2690623535","2470545654","2509029785","3777273438","5032216797","5765734863","6108715332","8167895428.28694","8675015545.18563","8851328207.68707","8220467644.96879","8723305860.0526","10114090360.3547","9613999886.73231","7846621592.52401","7767413869.95938","7578140728.1736","5873235216.43738","6555649200.15664","7528320436.56572","9139365050.21621","10332372823.4994","10858557517.2268","11663457222.8782","13402757251.1244","15837911699.9293","16395814781.2339","18511536217.6505","23679612734.2405","23739901217.692","25338232377.4544","26816863787.0539","26030808269.9036","26049361425.4612","26935467093.3985","27674961109.2022","28179792022.0747","27964775772.4157",
"Channel Islands","CHI","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","70000000","93000000","81000000","14000000","14000000","13000000","12100000.38","14199999.81","14100000.38","17600000.38","7200000","8333333.015","9466666.222","10600000.38","11733333.59","12866666.79","14000000","20500000","15808000","14400000","15600000","15700000","15900000","3500000.05085985","3600001.63216023","3199999.16289998","3199999.84122023","3200000.50499129","3199999.7251396","103939862.000001","148788988.999984","177089470.999982","237627482.999982","310104615.999989","304434932.999978","386476768.999982","345594093.542873","492037287.263703","623866299.713828","722743058.630458","774098058.010956",
"China","CHN","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","3000000","2000000","2000000","3000000","3000000","3000000","4000000","3000000","5000000","18000000","15000000","15000000","19000000","85666664.12","152333328.2","198000000","272000000","593000000","754290000","936000000","1172943240.3348","1597068954.4748","1997994275.7942","1817413689.7668","2329992812.57431","2493058145.24102","2736390791.37784","2051656434","1455455375","1618147148","1788058506","1714202599","4155302052.29","5718191072.59","6210890955.57","16253286877.31","16548078395.86","15135300288.47","18120882932.12",
"Cote d'Ivoire","CIV","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","191775665.3","294203186","351270385.7","463980865.5","636982666","786162170.4","503806243.9","399870666.5","328551971.4","298885467.5","286691772.5","431988006.6","513747802.7","528792846.7","412528442.4","471232452.4","445930236.8","456757629.4","430494751","355004211.4","456978302","523895446.8","495143341.1","516943969.7","498902771","389722259.5","379542144.8","573897827.1","627857543.9","591410156.3","597208166.443528","661035721.724585","699271670.757831","758687592.017424","746399976.285337","726293253.780639","728565816.811433","694444945.509466","736281654.179675","746866785.943462","649769213.482815","715984964.055525","847275830.943493","919027300.726831","908280381.780388","",
"Cameroon","CMR","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","10908513.07","20119131.09","37090724.95","101760910","101460464.5","98050476.07","117853591.9","106600959.8","138983184.8","135285018.9","136655578.6","160551574.7","114103614.8","110884702.450238","95353921.3682631","135062740.510378","106511248.955472","62229300.7792314","22338045.0010765","37081634.0172496","35565340.556248","33510027.1789142","28118441.4610098","29980072.0425181","41725638.8375231","55576406.8879165","56736548.8513943","42170434.5981639","56198255.1610859","91752773.4395071","89682356.9736026","56576227.9280025","130469611.001679","54232641.8245913","80717476.7713523","72900867.5373347","65130642.840141","82226627.4209087","75607434.9552448","81209328.7727286","83592863.6782188","88887957.4166886","86396256.2550969","",
"Congo, Dem. Rep.","COD","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32300000","31500000","26400000","37400000","30900000","57200000","812600000","669745991.90705","920031731.820626","450677740.612592","851177411.04","450360618.476024","532463104.850146","913820460.848003","1004481694.54917","694932406.590414",
"Congo, Rep.","COG","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","9430289.268","18362024.31","39142452.24","22470714.57","23916160.58","30498651.5","34168148.04","34204910.28","38971324.92","53071746.83","55249618.53","40437820.43","55460715.7005165","52462380.5297507","53269500.453044","45203713.0845504","23234673.8075857","27388646.9246383","38426168.7302086","34550382.3829051","34587572.8824868","45767483.7215766","36536329.8387932","31589063.5712385","34864291.639488","39229159.8199801","49405168.4627022","66165133.3331546","80705293.9505929","58155501.3045608","53603658.5143256","64095465.2698934","69660005.4055948","54131880.2880516","51113835.4162053","56950849.8651164","67048943.0141807","67643982.2716568","401640334.616857","","","","",
